Month_Key,Month,Year,Quarter,Decade
2001,January,2005,1,1
2002,February,2005,1,1
2003,March,2005,1,1
2004,April,2005,2,1
2005,May,2005,2,1
2006,June,2005,2,1
2007,July,2005,3,1
2008,August,2005,3,1
2009,September,2005,3,1
2010,October,2005,4,1
2011,November,2005,4,1
2012,December,2005,4,1
2013,January,2006,1,1
2014,February,2006,1,1
2015,March,2006,1,1
2016,April,2006,2,1
2017,May,2006,2,1
2018,June,2006,2,1
2019,July,2006,3,1
2020,August,2006,3,1
2021,September,2006,3,1
2022,October,2006,4,1
2023,November,2006,4,1
2024,December,2006,4,1
2025,January,2007,1,1
2026,February,2007,1,1
2027,March,2007,1,1
2028,April,2007,2,1
2029,May,2007,2,1
2030,June,2007,2,1
2031,July,2007,3,1
2032,August,2007,3,1
2033,September,2007,3,1
2034,October,2007,4,1
2035,November,2007,4,1
2036,December,2007,4,1
2037,January,2008,1,1
2038,February,2008,1,1
2039,March,2008,1,1
2040,April,2008,2,1
2041,May,2008,2,1
2042,June,2008,2,1
2043,July,2008,3,1
2044,August,2008,3,1
2045,September,2008,3,1
2046,October,2008,4,1
2047,November,2008,4,1
2048,December,2008,4,1
2049,January,2009,1,1
2050,February,2009,1,1
2051,March,2009,1,1
2052,April,2009,2,1
2053,May,2009,2,1
2054,June,2009,2,1
2055,July,2009,3,1
2056,August,2009,3,1
2057,September,2009,3,1
2058,October,2009,4,1
2059,November,2009,4,1
2060,December,2009,4,1
2061,January,2010,1,1
2062,February,2010,1,1
2063,March,2010,1,1
2064,April,2010,2,1
2065,May,2010,2,1
2066,June,2010,2,1
2067,July,2010,3,1
2068,August,2010,3,1
2069,September,2010,3,1
2070,October,2010,4,1
2071,November,2010,4,1
2072,December,2010,4,1
2073,January,2011,1,2
2074,February,2011,1,2
2075,March,2011,1,2
2076,April,2011,2,2
2077,May,2011,2,2
2078,June,2011,2,2
2079,July,2011,3,2
2080,August,2011,3,2
2081,September,2011,3,2
2082,October,2011,4,2
2083,November,2011,4,2
2084,December,2011,4,2
2085,January,2012,1,2
2086,February,2012,1,2
2087,March,2012,1,2
2088,April,2012,2,2
2089,May,2012,2,2
2090,June,2012,2,2
2091,July,2012,3,2
2092,August,2012,3,2
2093,September,2012,3,2
2094,October,2012,4,2
2095,November,2012,4,2
2096,December,2012,4,2
2097,January,2013,1,2
2098,February,2013,1,2
2099,March,2013,1,2
2100,April,2013,2,2
2101,May,2013,2,2
2102,June,2013,2,2
2103,July,2013,3,2
2104,August,2013,3,2
2105,September,2013,3,2
2106,October,2013,4,2
2107,November,2013,4,2
2108,December,2013,4,2
2109,January,2014,1,2
2110,February,2014,1,2
2111,March,2014,1,2
2112,April,2014,2,2
2113,May,2014,2,2
2114,June,2014,2,2
2115,July,2014,3,2
2116,August,2014,3,2
2117,September,2014,3,2
2118,October,2014,4,2
2119,November,2014,4,2
2120,December,2014,4,2
2121,January,2015,1,2
2122,February,2015,1,2
2123,March,2015,1,2
2124,April,2015,2,2
2125,May,2015,2,2
2126,June,2015,2,2
2127,July,2015,3,2
2128,August,2015,3,2
2129,September,2015,3,2
2130,October,2015,4,2
2131,November,2015,4,2
2132,December,2015,4,2
2133,January,2016,1,2
2134,February,2016,1,2
2135,March,2016,1,2
2136,April,2016,2,2
2137,May,2016,2,2
2138,June,2016,2,2
2139,July,2016,3,2
2140,August,2016,3,2
2141,September,2016,3,2
2142,October,2016,4,2
2143,November,2016,4,2
2144,December,2016,4,2
2145,January,2017,1,2
2146,February,2017,1,2
2147,March,2017,1,2
2148,April,2017,2,2
2149,May,2017,2,2
2150,June,2017,2,2
2151,July,2017,3,2
2152,August,2017,3,2
2153,September,2017,3,2
2154,October,2017,4,2
2155,November,2017,4,2
2156,December,2017,4,2
2157,January,2018,1,2
2158,February,2018,1,2
2159,March,2018,1,2
2160,April,2018,2,2
2161,May,2018,2,2
2162,June,2018,2,2
2163,July,2018,3,2
2164,August,2018,3,2
2165,September,2018,3,2
2166,October,2018,4,2
2167,November,2018,4,2
2168,December,2018,4,2
2169,January,2019,1,2
2170,February,2019,1,2
2171,March,2019,1,2
2172,April,2019,2,2
2173,May,2019,2,2
2174,June,2019,2,2
2175,July,2019,3,2
2176,August,2019,3,2
2177,September,2019,3,2
2178,October,2019,4,2
2179,November,2019,4,2
2180,December,2019,4,2
2181,January,2020,1,2
2182,February,2020,1,2
2183,March,2020,1,2
2184,April,2020,2,2
2185,May,2020,2,2
2186,June,2020,2,2
2187,July,2020,3,2
2188,August,2020,3,2
2189,September,2020,3,2
2190,October,2020,4,2
2191,November,2020,4,2
2192,December,2020,4,2
